Month,NumberMonth,Thousand Passengers
1949-01,1,112
1949-02,2,118
1949-03,3,132
1949-04,4,129
1949-05,5,121
1949-06,6,135
1949-07,7,148
1949-08,8,148
1949-09,9,136
1949-10,10,119
1949-11,11,104
1949-12,12,118
1950-01,13,115
1950-02,14,126
1950-03,15,141
1950-04,16,135
1950-05,17,125
1950-06,18,149
1950-07,19,170
1950-08,20,170
1950-09,21,158
1950-10,22,133
1950-11,23,114
1950-12,24,140
1951-01,25,145
1951-02,26,150
1951-03,27,178
1951-04,28,163
1951-05,29,172
1951-06,30,178
1951-07,31,199
1951-08,32,199
1951-09,33,184
1951-10,34,162
1951-11,35,146
1951-12,36,166
1952-01,37,171
1952-02,38,180
1952-03,39,193
1952-04,40,181
1952-05,41,183
1952-06,42,218
1952-07,43,230
1952-08,44,242
1952-09,45,209
1952-10,46,191
1952-11,47,172
1952-12,48,194
1953-01,49,196
1953-02,50,196
1953-03,51,236
1953-04,52,235
1953-05,53,229
1953-06,54,243
1953-07,55,264
1953-08,56,272
1953-09,57,237
1953-10,58,211
1953-11,59,180
1953-12,60,201
1954-01,61,204
1954-02,62,188
1954-03,63,235
1954-04,64,227
1954-05,65,234
1954-06,66,264
1954-07,67,302
1954-08,68,293
1954-09,69,259
1954-10,70,229
1954-11,71,203
1954-12,72,229
1955-01,73,242
1955-02,74,233
1955-03,75,267
1955-04,76,269
1955-05,77,270
1955-06,78,315
1955-07,79,364
1955-08,80,347
1955-09,81,312
1955-10,82,274
1955-11,83,237
1955-12,84,278
1956-01,85,284
1956-02,86,277
1956-03,87,317
1956-04,88,313
1956-05,89,318
1956-06,90,374
1956-07,91,413
1956-08,92,405
1956-09,93,355
1956-10,94,306
1956-11,95,271
1956-12,96,306
1957-01,97,315
1957-02,98,301
1957-03,99,356
1957-04,100,348
1957-05,101,355
1957-06,102,422
1957-07,103,465
1957-08,104,467
1957-09,105,404
1957-10,106,347
1957-11,107,305
1957-12,108,336
1958-01,109,340
1958-02,110,318
1958-03,111,362
1958-04,112,348
1958-05,113,363
1958-06,114,435
1958-07,115,491
1958-08,116,505
1958-09,117,404
1958-10,118,359
1958-11,119,310
1958-12,120,337
1959-01,121,360
1959-02,122,342
1959-03,123,406
1959-04,124,396
1959-05,125,420
1959-06,126,472
1959-07,127,548
1959-08,128,559
1959-09,129,463
1959-10,130,407
1959-11,131,362
1959-12,132,405
1960-01,133,417
1960-02,134,391
1960-03,135,419
1960-04,136,461
1960-05,137,472
1960-06,138,535
1960-07,139,622
1960-08,140,606
1960-09,141,508
1960-10,142,461
1960-11,143,390
1960-12,144,432
